Text,Label
tencent revealed real number deaths,fake
taking chlorine dioxide helps fight coronavirus,fake
this video shows workmen uncovering batinfested roof state florida 2011,fake
asterix comic books simpsons predicted coronavirus outbreak,fake
chinese president jinping visited mosque amid coronavirus outbreak asked people muslim community pray about present crisis,fake
china seeks court approval kill over 000 coronavirus patients stop spread outbreak,fake
video shows people screaming wuhan because they feared coronavirus,fake
video says weed kills coronavirus,fake
coronavirus has been found broiler chicken,fake
photo pakistani prime minister imran khan chinese president jinping imran khan wearing mask,fake
autopsy reveals wuhan doctor murdered his sickbed,fake
new coronavirus causes sudden death syndrome,fake
coronavirus caused snakes,fake
can cannabis cure coronavirus,fake
woman infected coronavirus killed chinese police,fake
garlic water can cure novel coronavirus,fake
coronavirus found broiler chicken,fake
bill gates predicted coronavirus,fake
bill gates predicted coronavirus,fake
2012 facebook user predicted coronavirus china,fake
there case coronavirus caserta,fake
covid stolen canada chinese spies accidentally released wuhan,fake
there case coronavirus andorra,fake
child china has coronavirus galicia spain,fake
person coronavirus andorra,fake
satellite images show high levels sulphur dioxide above china are possible evidence mass cremations people who have died coronavirus,fake
pets can contaminate humans,fake
people are lying ground china because they contracted coronavirus,fake
cats dogs can infected can contaminate humans covid,fake
cats dogs can infected can contaminate humans covid,fake
coronavirusinfected chicken has been found bengaluru india,fake
videos state 000 chinese are being killed,fake
people wuhan are locked inside their houses chinese government,fake
breaking,fake
coronavirus epidemic will disappear april thanks heat president donald trump said,fake
police publicly kill coronavirusinfected woman china,fake
chinese have begun use their human corpse process into products such corned beef ship africa please share your contacts very important,fake
china seeking court approval kill 000 people positive coronavirus,fake
china seeks court approval kill 000 coronavirus patients,fake
hand sanitizer form 2010 labeled against covid,fake
china orders citizens abandonkill their pets they can transmit coronavirus,fake
vitamin omega prevent new coronavirus,fake
germans quarantined gomera coronavirus leave home isolation without permission,fake
coronavirus pandemic can dramatically slowed stopped immediate widespread use high doses vitamin,fake
coronavirus pandemic can dramatically slowed stopped immediate widespread use high doses vitamin,fake
coronavirus cases reported rome georgia,fake
silver solution used strains coronavirus totally eliminates kills deactivates,fake
bats responsible outbreak coronavirus originated rooftop house wuhan,fake
weed kills coronavirus,fake
covid caused antennas,fake
satellite images showing high levels sulphur dioxide above china are possible evidence mass cremations people who have died coronavirus,fake
using cocaine kills coronavirus,fake
chinese news website tencent filters there are more than 000 deaths coronavirus,fake
claims cannibalism china,fake
this person coronavirus calella barcelona,fake
sulfur dioxide pollution wuhan reveals china burning bodies victims,fake
china orders citizens abandonkill their pets they can transmit coronavirus,fake
coronavirus created lab wuhan,fake
people wuhan are locked inside their houses trying escape building fire,fake
who declared covid abbreviation china outbreak virus december 2019,fake
video shows police killing covid affected people china,fake
chicken infected coronavirus found bangalore,fake
video police killing covid affected people china,fake
video shows chinese epidemiologist saying there are millions people infected,fake
this photo chinese tapafrom bat,fake
residential building set fire wuhan control spread coronavirus,fake
highrise buildings have become human incinerators combat spread coronavirus,fake
new confirmed cases covid kolkatta reported press trust india,fake
high levels sulfur dioxide wuhan may sign mass cremations victims coronavirus,fake
china has announced sucess egyptian serum form hala ealth miniter egypt against coronavirus,fake
china has announced success egyptian serum form hala health minister egypt against coronavirus,fake
there covid case east indian state,fake
bus driver china vomits blood after becoming unconscious behind wheel,fake
video shows massive explosion wuhan china control spread coronavirus,fake
black skin resistant coronavirus,fake
consuming magnesium chloride sodium bicarbonate ginger lemon juice prevents coronavirus infection,fake
latest research chinese scientists said coronavirus will render most male patients infertile,fake
this bottle disinfectant gel proves coronavirus existed before 2019,fake
coronavirus outbreak georgia caused georgia association agreement,fake
drinking alcohol kills coronavirus,fake
seven children died coronavirus within one week karimganj assam india,fake
cocaine kills coronavirus,fake
data shows massive release sulfur dioxide gas near wuhan,fake
popping bubble wrap exposes people coronavirus,fake
million chinese people converted islam after proven coronavirus does not affect muslims,fake
this video shows corpses streets wuhan,fake
chinese police kill woman escaping covid quarantine china,fake
india has developed treatment coronavirus,fake
chinese are converting islam after realizing muslim affected covid country,fake
china seeks court approval kill 000 coronavirus patients,fake
this coronavirusinfected patient reached vinod kumar but wasn given treatment later referred bhagalpur further states one should avoid meat fish months wear mask protect yourself coronavirus,fake
world labs confirm coronavirus bioengineered,fake
elderly chinese couple infected coronavirus say goodbye while they are hospital,fake
coronavirus biological warfare weapon,fake
2008 book end days predicted current coronavirus outbreak,fake
video says coronavirus invented patented usa then planted china,fake
studies show coronavirus engineered bioweapon,fake
chinese converting islam after realizing muslim affected covd19 country,fake
chinese man has been lynched because pretended have coronavirus,fake
drug arbidol can help fight new coronavirus,fake
million chinese convert islam coronavirus does not affect muslims,fake
simpsons predicted new coronavirus outbreak,fake
video shows racist reactions toward asian people,fake
coronavirus has arrived sarajevo bosnia herzegovina,fake
chinese people are fleeing china vietnam because coronavirus,fake
six coronavirus cases confirmed wichita kansas,fake
pigs are buried alive due coronavirus,fake
post says people color may immune coronavirus because melanin,fake
